cui,preferred_name,semantic_types,token,frequency
C3714787,Central Nervous System,bdsy,Central Nervous System,18
C0027882,Neurons,cell,Neurons,18
C2607943,findings aspects,ftcn,findings aspects,18
C0199168,Medical service,hlca,Medical service,18
C1846009,"Intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomaly syndrome",dsyn,"Intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomaly syndrome",18
C1282910,Upper,spco,Upper,18
C0025520,metabolic aspects,ftcn,metabolic aspects,18
C0032961,Pregnancy,orgf,Pregnancy,18
C0232338,Blood flow,phsf,Blood flow,18
C0030011,Oxidation,moft,Oxidation,18
C0015663,Fasting,fndg,Fasting,18
C0015392,Eye,bpoc,Eye,18
C0262512,History of present illness,fndg,History of present illness,18
C0033204,Probability,qnco,Probability,18
C0449259,Clinical course,tmco,Clinical course,18
C0175668,Secondary to,qlco,Secondary to,17
C0302908,Liquid substance,sbst,Liquid substance,17
C0002085,Alleles,gngm,Alleles,17
C0243067,defects aspect,ftcn,defects aspect,17
C0022702,Kinetics,npop,Kinetics,17
C0449475,cell type,inpr,cell type,17
C0037083,Signal Transduction,celf,Signal Transduction,17
C0178602,Dosage,qnco,Dosage,17
C0205263,Induce (action),ftcn,Induce (action),17
C0005775,Blood Circulation,phsf,Blood Circulation,17
C0205095,Dorsal,spco,Dorsal,17
C0013943,embryologic,ftcn,embryologic,17
C1564799,Zonal,phsu,Zonal,17
C3714514,Infection,patf,Infection,17
C0243148,control aspects,qlco,control aspects,17
C0001128,Acids,chem,Acids,17
C0221423,Illness (finding),sosy,Illness (finding),17
C0042149,Uterus,bpoc,Uterus,17
C0332147,Suspected diagnosis,qlco,Suspected diagnosis,17
C0449851,Techniques,ftcn,Techniques,16
C0521119,Extracellular,celc,Extracellular,16
C0043047,water,"inch,phsu",water,16
C0442805,Increase,ftcn,Increase,16
C0015576,Family,famg,Family,16
C1446409,Positive,fndg,Positive,16
C0030761,genetic pedigree,inpr,genetic pedigree,16
C0019247,Hereditary Diseases,dsyn,Hereditary Diseases,16
C0441833,Groups,idcn,Groups,16
C0220844,growth aspects,phsf,growth aspects,16
C0449297,Clearance,qlco,Clearance,16
C0040808,Treatment Protocols,topp,Treatment Protocols,16
C0004388,Autonomic nervous system,bdsy,Autonomic nervous system,16
C0079411,Generations,tmco,Generations,16
C0205284,Marginal,spco,Marginal,16
C0445254,Sensory (qualifier value),qlco,Sensory (qualifier value),16
C0425442,Respiratory System Finding,fndg,Respiratory System Finding,16
C0020962,Immune system,bdsy,Immune system,16
C0017715,Gluconeogenesis,moft,Gluconeogenesis,16
C0004927,Behavior,bhvr,Behavior,16
C0205464,pharmacological,ftcn,pharmacological,16
C0009240,Cognition,menp,Cognition,16
C0007603,Plasma membrane,celc,Plasma membrane,15
C0008377,cholesterol,"bacs,orch",cholesterol,15
C0220866,aspects of laws,rnlw,aspects of laws,15
C0220806,Chemicals,chem,Chemicals,15
C0205093,Lateral,spco,Lateral,15
C0010268,Cranial Nerves,bpoc,Cranial Nerves,15
C1300196,Organized,ftcn,Organized,15
C0439851,Direct type of relationship,qlco,Direct type of relationship,15
C0001688,aspects of adverse effects,ftcn,aspects of adverse effects,15
C0027749,Nerve Fibers,celc,Nerve Fibers,15
C0027530,Neck,blor,Neck,15
C1705232,Death Related to Adverse Event,fndg,Death Related to Adverse Event,15
C0079595,Imaging Techniques,diap,Imaging Techniques,15
C0205094,Anterior,spco,Anterior,15
C0277785,Functional disorder,patf,Functional disorder,15
C0021368,Inflammation,patf,Inflammation,15
C0162429,Malnutrition,dsyn,Malnutrition,15
C0021966,Iodides,inch,Iodides,15
C0205054,Hepatic,blor,Hepatic,15
C0521116,Current (present time),tmco,Current (present time),15
C0020964,Immune response,ortf,Immune response,15
C0029939,Ovary,bpoc,Ovary,15
C0017189,Gastrointestinal tract structure,bdsy,Gastrointestinal tract structure,15
C1260954,Morphologically altered structure,anab,Morphologically altered structure,15
C0262926,Medical History,fndg,Medical History,15
C0025255,Tissue membrane,tisu,Tissue membrane,14
C0460139,Pressure (finding),fndg,Pressure (finding),14
C2587213,Control function,ftcn,Control function,14
C0439828,Variable (uniformity),qlco,Variable (uniformity),14
C0086715,Normal Range,qnco,Normal Range,14
C0030274,Pancreas,bpoc,Pancreas,14
C0344441,Histology Procedure,lbpr,Histology Procedure,14
C0243077,inhibitors,chvf,inhibitors,14
C0162638,Apoptosis,celf,Apoptosis,14
C0441748,Autosomal recessive inheritance,genf,Autosomal recessive inheritance,14
C0439858,Conventional,qlco,Conventional,14
C0012238,Digestion,orgf,Digestion,14
C0456603,Ratio,qnco,Ratio,14
C0205183,Benign,qlco,Benign,14
C0220856,incidence of cases,ftcn,incidence of cases,14
C0013153,Drug Administration Routes,ftcn,Drug Administration Routes,14
C0234402,Stimulus,phpr,Stimulus,14
C1704338,diagnosis aspect,ftcn,diagnosis aspect,14
C1384516,Anatomy aspects,qlco,Anatomy aspects,14
C0677535,Walls of a building,mnob,Walls of a building,14
C0333348,Inflammatory,ftcn,Inflammatory,14
C0017446,Geographic Locations,geoa,Geographic Locations,14
C0458083,Hormonal,qlco,Hormonal,14
C0449444,Route,spco,Route,14
C0079809,Measures,qnco,Measures,14
C0017911,glycogen,"bacs,orch",glycogen,14
C0000768,Congenital Abnormality,cgab,Congenital Abnormality,14
C2700409,prevention aspects,qlco,prevention aspects,14
C0003320,Antigens,imft,Antigens,14
C0002771,Analgesics,"hops,orch,phsu",Analgesics,14
C1301746,Documents,inpr,Documents,14
C0030247,Palpation,diap,Palpation,14
C1956007,Nutrigenetics,bmod,Nutrigenetics,14
C0205198,Compound,qlco,Compound,13
C0019868,Homeostasis,biof,Homeostasis,13
C0205345,Relative,qlco,Relative,13
C0001272,Action Potentials,celf,Action Potentials,13
C0043210,Woman,popg,Woman,13
C0728938,Partial,qnco,Partial,13
C0206132,Age of Onset,qnco,Age of Onset,13
C0024501,Maintenance,acty,Maintenance,13
C0023895,Liver diseases,dsyn,Liver diseases,13
C0441994,Lower - spatial qualifier,spco,Lower - spatial qualifier,13
C1457869,Defect,ftcn,Defect,13
C0439178,percent positive cells,qnco,percent positive cells,13
C0439852,Indirect,qlco,Indirect,13
C0010957,Tissue damage,inpo,Tissue damage,13
C1299351,Abnormally high,qlco,Abnormally high,13
C0920875,Muscle action,ortf,Muscle action,13
C1123023,Skin,bdsy,Skin,13
C0031701,Phosphoric Acid Esters,orch,Phosphoric Acid Esters,13
C0220912,Aspects of signs,ftcn,Aspects of signs,13
C0004083,Mental association,menp,Mental association,13
C0007165,Cardiac Output,clna,Cardiac Output,13
C0033095,Pressure- physical agent,phpr,Pressure- physical agent,13
C0003811,Cardiac Arrhythmia,dsyn,Cardiac Arrhythmia,13
C0004096,Asthma,dsyn,Asthma,13
C0162791,Guidelines,inpr,Guidelines,13
C0455405,Family history: Hypertension,fndg,Family history: Hypertension,13
C0005682,Urinary Bladder,bpoc,Urinary Bladder,13
C0020615,Hypoglycemia,dsyn,Hypoglycemia,13
C0012632,Discrimination (process of differentiation),menp,Discrimination (process of differentiation),13
C0580586,Extracranial,spco,Extracranial,13
C0445623,Microorganism,orgm,Microorganism,13
C0521026,Viral,ftcn,Viral,13
C0002045,algorithm,inpr,algorithm,13
C0023779,Lipids,orch,Lipids,12
C0178719,Intracellular,spco,Intracellular,12
C2744579,"ATP8A2 protein, human","aapp,enzy","ATP8A2 protein, human",12
C0080103,Relative (related person),famg,Relative (related person),12
C0851827,Dependent - ability,qlco,Dependent - ability,12
C0162326,DNA Sequence,nusq,DNA Sequence,12
C1306673,Stage,tmco,Stage,12
C0019425,Heterozygote,orga,Heterozygote,12
C1628982,Percent inhibition,qnco,Percent inhibition,12
C0750572,Estimated,qnco,Estimated,12
C0733755,Positioning Attribute,spco,Positioning Attribute,12
C0021853,Intestines,bpoc,Intestines,12
C5243473,Drug Elimination Routes,ftcn,Drug Elimination Routes,12
C0026820,Muscle Contraction,phsf,Muscle Contraction,12
C1140999,Contraction (finding),patf,Contraction (finding),12
C0014563,epinephrine,"horm,orch,phsu",epinephrine,12
C0027908,Neurotransmitters,bacs,Neurotransmitters,12
C0449560,Subtype (attribute),clas,Subtype (attribute),12
C0460002,body system,bdsy,body system,12
C0205161,Abnormal,fndg,Abnormal,12
C0006141,Breast,bpoc,Breast,12
C0007301,Cartilage,tisu,Cartilage,12
C0001675,Adult,aggp,Adult,12
C0549183,Midline (qualifier value),spco,Midline (qualifier value),12
C0205102,Internal,spco,Internal,12
C1623416,deficiency aspects,qlco,deficiency aspects,12
C0015259,Exercise,dora,Exercise,12
C0392673,Adaptation,biof,Adaptation,12
C0332208,Tubular formation,spco,Tubular formation,12
C0549186,Obstructed,ftcn,Obstructed,12
C0229664,peripheral blood,bdsu,peripheral blood,12
C0023078,Larynx,bpoc,Larynx,12
C0011991,Diarrhea,sosy,Diarrhea,12
C0015450,Face,blor,Face,12
C0023675,Life Cycle Stages,tmco,Life Cycle Stages,12
C0017313,patient care,hlca,patient care,12
C0008300,Choice Behavior,inbe,Choice Behavior,12
C0086388,Health Care,hlca,Health Care,12
C1443844,Mode of transmission,fndg,Mode of transmission,12
C0199219,Inspection (procedure),hlca,Inspection (procedure),12
C0439799,Channel,spco,Channel,11
C0036576,Genetic Selection,genf,Genetic Selection,11
C0439810,Total,qlco,Total,11
C0017110,Gases,chvs,Gases,11
C1264633,Fraction of,qnco,Fraction of,11
C0439660,Hereditary,ftcn,Hereditary,11
C0687676,Post,tmco,Post,11
C0585064,Numerical phases,tmco,Numerical phases,11
C0035150,Reproduction,orgf,Reproduction,11
C0242781,disease transmission,patf,disease transmission,11
C0428953,Electrocardiogram: myocardial infarction (finding),lbtr,Electrocardiogram: myocardial infarction (finding),11
C1550100,Specimen Type - Serum,bdsu,Specimen Type - Serum,11
C0006826,Malignant Neoplasms,neop,Malignant Neoplasms,11
C0376249,With frequency,tmco,With frequency,11
C0009325,collagen,"aapp,phsu",collagen,11
C0021399,Influentials,idcn,Influentials,11
C0220905,regulatory,rnlw,regulatory,11
C0031327,Drug Kinetics,phsf,Drug Kinetics,11
C1279901,Firstly,qlco,Firstly,11
C0027061,Myocardium,tisu,Myocardium,11
C0037925,Spinal Cord,bpoc,Spinal Cord,11
C0007776,Cerebral cortex,bpoc,Cerebral cortex,11
C0439792,Extent,spco,Extent,11
C0041942,urea,"bacs,orch,phsu",urea,11
C0150312,Present,fndg,Present,11
C0470187,Availability of,ftcn,Availability of,11
C0021289,"Infant, Newborn",aggp,"Infant, Newborn",11
C0021270,Infant,aggp,Infant,11
C0543467,Operative Surgical Procedures,topp,Operative Surgical Procedures,11
C0205555,Special,qlco,Special,11
C0439064,Numerous,qnco,Numerous,11
C0201931,"Carbon dioxide measurement, partial pressure",lbpr,"Carbon dioxide measurement, partial pressure",11
C0013604,Edema,patf,Edema,11
C0018802,Congestive heart failure,dsyn,Congestive heart failure,11
C0002006,aldosterone,"horm,orch,phsu",aldosterone,11
C0027713,Nephrons,bpoc,Nephrons,11
C0337184,Physical restraint equipment (device),medd,Physical restraint equipment (device),11
C0024117,Chronic Obstructive Airway Disease,dsyn,Chronic Obstructive Airway Disease,11
C0205082,Severe (severity modifier),fndg,Severe (severity modifier),11
C0348018,Spatial Projection,spco,Spatial Projection,11
C0042037,In Urine,ftcn,In Urine,11
C0040132,Thyroid Gland,bpoc,Thyroid Gland,11
C0332140,"Diagnosis, clinical",diap,"Diagnosis, clinical",11
C0040135,Thyroid Hormones,horm,Thyroid Hormones,11
C0600688,Toxic effect,inpo,Toxic effect,11
C0007765,Cerebellum,bpoc,Cerebellum,11
C0005346,Bias (Epidemiology),idcn,Bias (Epidemiology),11
C0199176,Prophylactic treatment,topp,Prophylactic treatment,11
C0004611,Bacteria,bact,Bacteria,11
C0038952,Continuance of life,acty,Continuance of life,11
C0870313,Communication skills (observable entity),orga,Communication skills (observable entity),11
C0439855,Complex,qlco,Complex,10
C0441722,Force,phpr,Force,10
C0205132,Linear,spco,Linear,10
C3887642,Hippocampus Proper,bpoc,Hippocampus,10
C0424589,Vitality,fndg,Vitality,10
C0038351,Stomach,bpoc,Stomach,10
C0700221,Intravascular line,medd,Intravascular line,10
C1185625,Anatomical compartments,inpr,Anatomical compartments,10
C0205361,Steady,qlco,Steady,10
C1444754,Length,qnco,Length,10
C0205197,Complete,qlco,Complete,10
C0029434,Osteogenesis Imperfecta,dsyn,Osteogenesis Imperfecta,10
C1136375,Inheritance Patterns,genf,Inheritance Patterns,10
C0185117,Expression procedure,topp,Expression procedure,10
C0439603,Frequencies (time pattern),tmco,Frequencies (time pattern),10
C0017968,Glycoproteins,"aapp,bacs",Glycoproteins,10
C0024264,Lymphocyte,cell,Lymphocyte,10
C0031340,Pharmacy Distribution,hlca,Pharmacy Distribution,10
C0237753,Numbers,qnco,Numbers,10
C0001041,acetylcholine,"bacs,orch,phsu",acetylcholine,10
C0205115,Afferent,spco,Afferent,10
C0205227,Endogenous,ftcn,Endogenous,10
C0205076,Chest wall structure,bpoc,Chest wall structure,10
C0441730,Type 2,clas,Type 2,10
C0687133,Drug Interactions,patf,Drug Interactions,10
C0023685,Ligaments,tisu,Ligaments,10
C0018563,Hand,bpoc,Hand,10
C0205379,Visible,qlco,Visible,10
C0039597,Testis,bpoc,Testis,10
C0038455,Stroke Volume,clna,Stroke Volume,10
C1283004,PO2 measurement,lbpr,PO2 measurement,10
C0740175,Before values,qlco,Before values,10
C1268086,Body structure,anst,Body structure,10
C0012798,Diuretics,phsu,Diuretics,10
C0014876,Esophagus,bpoc,Esophagus,10
C0004339,Auscultation,diap,Auscultation,10
C0018827,Heart Ventricle,bpoc,Heart Ventricle,10
C0687028,Duct (organ) structure,bpoc,Duct (organ) structure,10
C0458003,Developmental (qualifier value),qlco,Developmental (qualifier value),10
C0444504,Statistical mean,qnco,Statistical mean,10
C0002871,Anemia,dsyn,Anemia,10
C0016410,folic acid,"orch,phsu,vita",folic acid,10
C0032285,Pneumonia,dsyn,Pneumonia,10
C0010417,Cryptorchidism,cgab,Cryptorchidism,10
C0220909,Aspects of disease screening,ftcn,Aspects of disease screening,10
C0443131,Accurate (qualifier),qlco,Accurate (qualifier),10
C0018966,Heme,"bacs,orch",Heme,10
C0430022,diagnostic procedure,diap,diagnostic procedure,10
C0037088,Signs and Symptoms,sosy,Signs and Symptoms,10
C0449381,Observation parameter,fndg,Observation parameter,10
C3875154,Relative to,idcn,Relative to,10
C0010453,Anthropological Culture,idcn,Anthropological Culture,10
C0037791,Specificity,qnco,Specificity,10
C0025118,Medicine,bmod,Medicine,10
C1301860,Legal,ftcn,Legal,10
C0017178,Gastrointestinal Diseases,dsyn,Gastrointestinal Diseases,10
C0344434,Atrial Fibrillation by ECG Finding,lbtr,Atrial Fibrillation by ECG Finding,10
C0027817,Neurobiology,bmod,Neurobiology,10
C0439182,percent gradient,qnco,percent gradient,9
C0596019,chloride ion,elii,chloride ion,9
C0205390,Phase,tmco,Phase,9
C0205430,Mixed (qualifier value),ftcn,Mixed (qualifier value),9
C0035028,Relaxation,acty,Relaxation,9
C0444930,End,spco,End,9
C0025186,Meiosis,celf,Meiosis,9
C3539107,Definition (core metadata concept),inpr,Definition (core metadata concept),9
C0007294,Genetic Carriers,fndg,Genetic Carriers,9
C0392756,Reduced,qlco,Reduced,9
C0002895,"Anemia, Sickle Cell",dsyn,"Anemia, Sickle Cell",9
C0242960,Genetic Heterogeneity,orga,Genetic Heterogeneity,9
C0030956,Peptides,"aapp,phsu",Peptides,9
C0700321,Small,qnco,Small,9
C0301818,Steroid hormone,"horm,orch",Steroid hormone,9
C0030286,Pancreatic Diseases,dsyn,Pancreatic Diseases,9
C0376358,Malignant neoplasm of prostate,neop,Malignant neoplasm of prostate,9
C1279919,Early,tmco,Early,9
C0243076,antagonists,chvf,antagonists,9
C1272706,Interval,tmco,Interval,9
C0442027,Oral,spco,Oral,9
C0206417,Peripheral Nervous System,bdsy,Peripheral Nervous System,9
C0028351,norepinephrine,"horm,orch,phsu",norepinephrine,9
C0004461,Axon,celc,Axon,9
C1185740,Tract,bpoc,Tract,9
C3543842,TONICS,phsu,TONICS,9
C0425560,Cardiovascular finding,fndg,Cardiovascular finding,9
C0009235,Coenzymes,"bacs,orch",Coenzymes,9
C0332173,Daily,tmco,Daily,9
